GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0006383	transcription by RNA polymerase III	3	0	0.01	1.000	1
GO:0006397	mRNA processing	47	0	0.15	1.000	1
GO:0006400	tRNA modification	9	0	0.03	1.000	1
GO:0006401	RNA catabolic process	22	0	0.07	1.000	1
GO:0006402	mRNA catabolic process	22	0	0.07	1.000	1
GO:0006412	translation	4	0	0.01	1.000	1
GO:0006457	protein folding	32	0	0.1	1.000	1
GO:0006464	cellular protein modification process	129	0	0.4	1.000	1
GO:0006468	protein phosphorylation	8	0	0.02	1.000	1
GO:0006470	protein dephosphorylation	16	0	0.05	1.000	1
GO:0006479	protein methylation	13	0	0.04	1.000	1
GO:0006480	N-terminal protein amino acid methylatio...	3	0	0.01	1.000	1
GO:0006486	protein glycosylation	36	0	0.11	1.000	1
GO:0006497	protein lipidation	7	0	0.02	1.000	1
GO:0006505	GPI anchor metabolic process	11	0	0.03	1.000	1
GO:0006506	GPI anchor biosynthetic process	7	0	0.02	1.000	1
GO:0006511	ubiquitin-dependent protein catabolic pr...	80	0	0.25	1.000	1
GO:0006518	peptide metabolic process	6	0	0.02	1.000	1
GO:0006520	cellular amino acid metabolic process	42	0	0.13	1.000	1
GO:0006547	histidine metabolic process	7	0	0.02	1.000	1
GO:0006568	tryptophan metabolic process	7	0	0.02	1.000	1
GO:0006576	cellular biogenic amine metabolic proces...	8	0	0.02	1.000	1
GO:0006586	indolalkylamine metabolic process	7	0	0.02	1.000	1
GO:0006605	protein targeting	12	0	0.04	1.000	1
GO:0006612	protein targeting to membrane	10	0	0.03	1.000	1
GO:0006613	cotranslational protein targeting to mem...	10	0	0.03	1.000	1
GO:0006614	SRP-dependent cotranslational protein ta...	10	0	0.03	1.000	1
GO:0006621	protein retention in ER lumen	9	0	0.03	1.000	1
GO:0006629	lipid metabolic process	279	0	0.87	1.000	1
GO:0006631	fatty acid metabolic process	50	0	0.16	1.000	1
GO:0006633	fatty acid biosynthetic process	31	0	0.1	1.000	1
GO:0006637	acyl-CoA metabolic process	3	0	0.01	1.000	1
GO:0006643	membrane lipid metabolic process	19	0	0.06	1.000	1
GO:0006644	phospholipid metabolic process	40	0	0.12	1.000	1
GO:0006650	glycerophospholipid metabolic process	33	0	0.1	1.000	1
GO:0006661	phosphatidylinositol biosynthetic proces...	15	0	0.05	1.000	1
GO:0006662	glycerol ether metabolic process	39	0	0.12	1.000	1
GO:0006664	glycolipid metabolic process	16	0	0.05	1.000	1
GO:0006665	sphingolipid metabolic process	3	0	0.01	1.000	1
GO:0006672	ceramide metabolic process	3	0	0.01	1.000	1
GO:0006694	steroid biosynthetic process	4	0	0.01	1.000	1
GO:0006720	isoprenoid metabolic process	22	0	0.07	1.000	1
GO:0006721	terpenoid metabolic process	7	0	0.02	1.000	1
GO:0006743	ubiquinone metabolic process	4	0	0.01	1.000	1
GO:0006744	ubiquinone biosynthetic process	4	0	0.01	1.000	1
GO:0006753	nucleoside phosphate metabolic process	25	0	0.08	1.000	1
GO:0006754	ATP biosynthetic process	14	0	0.04	1.000	1
GO:0006766	vitamin metabolic process	5	0	0.02	1.000	1
GO:0006767	water-soluble vitamin metabolic process	5	0	0.02	1.000	1
GO:0006777	Mo-molybdopterin cofactor biosynthetic p...	3	0	0.01	1.000	1
GO:0006778	porphyrin-containing compound metabolic ...	5	0	0.02	1.000	1
GO:0006779	porphyrin-containing compound biosynthet...	3	0	0.01	1.000	1
GO:0006790	sulfur compound metabolic process	23	0	0.07	1.000	1
GO:0006793	phosphorus metabolic process	95	0	0.29	1.000	1
GO:0006796	phosphate-containing compound metabolic ...	95	0	0.29	1.000	1
GO:0006801	superoxide metabolic process	3	0	0.01	1.000	1
GO:0006810	transport	584	0	1.81	1.000	1
GO:0006811	ion transport	140	0	0.43	1.000	1
GO:0006812	cation transport	121	0	0.38	1.000	1
GO:0006820	anion transport	19	0	0.06	1.000	1
GO:0006826	iron ion transport	3	0	0.01	1.000	1
GO:0006835	dicarboxylic acid transport	19	0	0.06	1.000	1
GO:0006839	mitochondrial transport	7	0	0.02	1.000	1
GO:0006855	xenobiotic transmembrane transport	102	0	0.32	1.000	1
GO:0006865	amino acid transport	39	0	0.12	1.000	1
GO:0006869	lipid transport	52	0	0.16	1.000	1
GO:0006873	cellular ion homeostasis	7	0	0.02	1.000	1
GO:0006886	intracellular protein transport	63	0	0.2	1.000	1
GO:0006887	exocytosis	8	0	0.02	1.000	1
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	4	0	0.01	1.000	1
GO:0006891	intra-Golgi vesicle-mediated transport	4	0	0.01	1.000	1
GO:0006897	endocytosis	3	0	0.01	1.000	1
GO:0006900	vesicle budding from membrane	4	0	0.01	1.000	1
GO:0006901	vesicle coating	4	0	0.01	1.000	1
GO:0006903	vesicle targeting	4	0	0.01	1.000	1
GO:0006904	vesicle docking involved in exocytosis	8	0	0.02	1.000	1
GO:0006914	autophagy	13	0	0.04	1.000	1
GO:0006950	response to stress	222	0	0.69	1.000	1
GO:0006952	defense response	108	0	0.33	1.000	1
GO:0006955	immune response	3	0	0.01	1.000	1
GO:0006974	cellular response to DNA damage stimulus	42	0	0.13	1.000	1
GO:0006979	response to oxidative stress	9	0	0.03	1.000	1
GO:0006996	organelle organization	74	0	0.23	1.000	1
GO:0007005	mitochondrion organization	5	0	0.02	1.000	1
GO:0007010	cytoskeleton organization	33	0	0.1	1.000	1
GO:0007017	microtubule-based process	27	0	0.08	1.000	1
GO:0007033	vacuole organization	13	0	0.04	1.000	1
GO:0007034	vacuolar transport	19	0	0.06	1.000	1
GO:0007049	cell cycle	35	0	0.11	1.000	1
GO:0007051	spindle organization	7	0	0.02	1.000	1
GO:0007059	chromosome segregation	5	0	0.02	1.000	1
GO:0007088	regulation of mitotic nuclear division	4	0	0.01	1.000	1
GO:0007091	metaphase/anaphase transition of mitotic...	4	0	0.01	1.000	1
GO:0007093	mitotic cell cycle checkpoint signaling	4	0	0.01	1.000	1
GO:0007094	mitotic spindle assembly checkpoint sign...	4	0	0.01	1.000	1
GO:0007154	cell communication	109	0	0.34	1.000	1
GO:0007165	signal transduction	97	0	0.3	1.000	1
GO:0007186	G protein-coupled receptor signaling pat...	5	0	0.02	1.000	1
GO:0007275	multicellular organism development	15	0	0.05	1.000	1
GO:0007346	regulation of mitotic cell cycle	4	0	0.01	1.000	1
GO:0008037	cell recognition	11	0	0.03	1.000	1
GO:0008104	protein localization	86	0	0.27	1.000	1
GO:0008202	steroid metabolic process	4	0	0.01	1.000	1
GO:0008213	protein alkylation	13	0	0.04	1.000	1
GO:0008299	isoprenoid biosynthetic process	22	0	0.07	1.000	1
GO:0008380	RNA splicing	43	0	0.13	1.000	1
GO:0008610	lipid biosynthetic process	87	0	0.27	1.000	1
GO:0008612	peptidyl-lysine modification to peptidyl...	3	0	0.01	1.000	1
GO:0008652	cellular amino acid biosynthetic process	17	0	0.05	1.000	1
GO:0008654	phospholipid biosynthetic process	22	0	0.07	1.000	1
GO:0009059	macromolecule biosynthetic process	144	0	0.45	1.000	1
GO:0009060	aerobic respiration	11	0	0.03	1.000	1
GO:0009064	glutamine family amino acid metabolic pr...	4	0	0.01	1.000	1
GO:0009072	aromatic amino acid family metabolic pro...	7	0	0.02	1.000	1
GO:0009073	aromatic amino acid family biosynthetic ...	7	0	0.02	1.000	1
GO:0009100	glycoprotein metabolic process	36	0	0.11	1.000	1
GO:0009101	glycoprotein biosynthetic process	36	0	0.11	1.000	1
GO:0009110	vitamin biosynthetic process	5	0	0.02	1.000	1
GO:0009116	nucleoside metabolic process	3	0	0.01	1.000	1
GO:0009117	nucleotide metabolic process	22	0	0.07	1.000	1
GO:0009123	nucleoside monophosphate metabolic proce...	3	0	0.01	1.000	1
GO:0009141	nucleoside triphosphate metabolic proces...	14	0	0.04	1.000	1
GO:0009142	nucleoside triphosphate biosynthetic pro...	14	0	0.04	1.000	1
GO:0009144	purine nucleoside triphosphate metabolic...	14	0	0.04	1.000	1
GO:0009145	purine nucleoside triphosphate biosynthe...	14	0	0.04	1.000	1
GO:0009150	purine ribonucleotide metabolic process	22	0	0.07	1.000	1
GO:0009152	purine ribonucleotide biosynthetic proce...	16	0	0.05	1.000	1
GO:0009165	nucleotide biosynthetic process	16	0	0.05	1.000	1
GO:0009199	ribonucleoside triphosphate metabolic pr...	14	0	0.04	1.000	1
GO:0009201	ribonucleoside triphosphate biosynthetic...	14	0	0.04	1.000	1
GO:0009205	purine ribonucleoside triphosphate metab...	14	0	0.04	1.000	1
GO:0009206	purine ribonucleoside triphosphate biosy...	14	0	0.04	1.000	1
GO:0009247	glycolipid biosynthetic process	12	0	0.04	1.000	1
GO:0009250	glucan biosynthetic process	5	0	0.02	1.000	1
GO:0009259	ribonucleotide metabolic process	22	0	0.07	1.000	1
GO:0009260	ribonucleotide biosynthetic process	16	0	0.05	1.000	1
GO:0009266	response to temperature stimulus	3	0	0.01	1.000	1
GO:0009269	response to desiccation	6	0	0.02	1.000	1
GO:0009308	amine metabolic process	8	0	0.02	1.000	1
GO:0009309	amine biosynthetic process	8	0	0.02	1.000	1
GO:0009311	oligosaccharide metabolic process	12	0	0.04	1.000	1
GO:0009409	response to cold	3	0	0.01	1.000	1
GO:0009414	response to water deprivation	6	0	0.02	1.000	1
GO:0009415	response to water	6	0	0.02	1.000	1
GO:0009451	RNA modification	41	0	0.13	1.000	1
GO:0009605	response to external stimulus	4	0	0.01	1.000	1
GO:0009607	response to biotic stimulus	3	0	0.01	1.000	1
GO:0009611	response to wounding	4	0	0.01	1.000	1
GO:0009628	response to abiotic stimulus	11	0	0.03	1.000	1
GO:0009664	plant-type cell wall organization	13	0	0.04	1.000	1
GO:0009719	response to endogenous stimulus	101	0	0.31	1.000	1
GO:0009725	response to hormone	101	0	0.31	1.000	1
GO:0009733	response to auxin	101	0	0.31	1.000	1
GO:0009765	photosynthesis, light harvesting	34	0	0.11	1.000	1
GO:0009767	photosynthetic electron transport chain	4	0	0.01	1.000	1
GO:0009772	photosynthetic electron transport in pho...	4	0	0.01	1.000	1
GO:0009790	embryo development	6	0	0.02	1.000	1
GO:0009832	plant-type cell wall biogenesis	13	0	0.04	1.000	1
GO:0009856	pollination	11	0	0.03	1.000	1
GO:0009875	pollen-pistil interaction	11	0	0.03	1.000	1
GO:0009889	regulation of biosynthetic process	52	0	0.16	1.000	1
GO:0009892	negative regulation of metabolic process	33	0	0.1	1.000	1
GO:0009893	positive regulation of metabolic process	3	0	0.01	1.000	1
GO:0010033	response to organic substance	101	0	0.31	1.000	1
GO:0010035	response to inorganic substance	11	0	0.03	1.000	1
GO:0010038	response to metal ion	3	0	0.01	1.000	1
GO:0010207	photosystem II assembly	3	0	0.01	1.000	1
GO:0010215	cellulose microfibril organization	13	0	0.04	1.000	1
GO:0010468	regulation of gene expression	84	0	0.26	1.000	1
GO:0010556	regulation of macromolecule biosynthetic...	52	0	0.16	1.000	1
GO:0010564	regulation of cell cycle process	8	0	0.02	1.000	1
GO:0010605	negative regulation of macromolecule met...	33	0	0.1	1.000	1
GO:0010629	negative regulation of gene expression	32	0	0.1	1.000	1
GO:0010639	negative regulation of organelle organiz...	4	0	0.01	1.000	1
GO:0010876	lipid localization	52	0	0.16	1.000	1
GO:0010948	negative regulation of cell cycle proces...	7	0	0.02	1.000	1
GO:0010965	regulation of mitotic sister chromatid s...	4	0	0.01	1.000	1
GO:0015031	protein transport	76	0	0.24	1.000	1
GO:0015074	DNA integration	3	0	0.01	1.000	1
GO:0015711	organic anion transport	19	0	0.06	1.000	1
GO:0015740	C4-dicarboxylate transport	19	0	0.06	1.000	1
GO:0015743	malate transport	19	0	0.06	1.000	1
GO:0015849	organic acid transport	58	0	0.18	1.000	1
GO:0015969	guanosine tetraphosphate metabolic proce...	3	0	0.01	1.000	1
GO:0015979	photosynthesis	47	0	0.15	1.000	1
GO:0015980	energy derivation by oxidation of organi...	17	0	0.05	1.000	1
GO:0015986	proton motive force-driven ATP synthesis	14	0	0.04	1.000	1
GO:0015994	chlorophyll metabolic process	3	0	0.01	1.000	1
GO:0016043	cellular component organization	114	0	0.35	1.000	1
GO:0016050	vesicle organization	4	0	0.01	1.000	1
GO:0016051	carbohydrate biosynthetic process	8	0	0.02	1.000	1
GO:0016053	organic acid biosynthetic process	49	0	0.15	1.000	1
GO:0016071	mRNA metabolic process	69	0	0.21	1.000	1
GO:0016072	rRNA metabolic process	11	0	0.03	1.000	1
GO:0016108	tetraterpenoid metabolic process	7	0	0.02	1.000	1
GO:0016109	tetraterpenoid biosynthetic process	7	0	0.02	1.000	1
GO:0016114	terpenoid biosynthetic process	7	0	0.02	1.000	1
GO:0016116	carotenoid metabolic process	7	0	0.02	1.000	1
GO:0016117	carotenoid biosynthetic process	7	0	0.02	1.000	1
GO:0016143	S-glycoside metabolic process	3	0	0.01	1.000	1
GO:0016145	S-glycoside catabolic process	3	0	0.01	1.000	1
GO:0016192	vesicle-mediated transport	29	0	0.09	1.000	1
GO:0016197	endosomal transport	3	0	0.01	1.000	1
GO:0016226	iron-sulfur cluster assembly	3	0	0.01	1.000	1
GO:0016236	macroautophagy	7	0	0.02	1.000	1
GO:0016310	phosphorylation	10	0	0.03	1.000	1
GO:0016311	dephosphorylation	28	0	0.09	1.000	1
GO:0016482	cytosolic transport	3	0	0.01	1.000	1
GO:0016485	protein processing	3	0	0.01	1.000	1
GO:0016579	protein deubiquitination	10	0	0.03	1.000	1
GO:0016998	cell wall macromolecule catabolic proces...	3	0	0.01	1.000	1
GO:0018130	heterocycle biosynthetic process	125	0	0.39	1.000	1
GO:0018193	peptidyl-amino acid modification	30	0	0.09	1.000	1
GO:0018205	peptidyl-lysine modification	3	0	0.01	1.000	1
GO:0018208	peptidyl-proline modification	26	0	0.08	1.000	1
GO:0018904	ether metabolic process	39	0	0.12	1.000	1
GO:0019219	regulation of nucleobase-containing comp...	53	0	0.16	1.000	1
GO:0019220	regulation of phosphate metabolic proces...	9	0	0.03	1.000	1
GO:0019222	regulation of metabolic process	97	0	0.3	1.000	1
GO:0019318	hexose metabolic process	7	0	0.02	1.000	1
GO:0019438	aromatic compound biosynthetic process	117	0	0.36	1.000	1
GO:0019439	aromatic compound catabolic process	29	0	0.09	1.000	1
GO:0019637	organophosphate metabolic process	69	0	0.21	1.000	1
GO:0019684	photosynthesis, light reaction	42	0	0.13	1.000	1
GO:0019693	ribose phosphate metabolic process	22	0	0.07	1.000	1
GO:0019720	Mo-molybdopterin cofactor metabolic proc...	3	0	0.01	1.000	1
GO:0019725	cellular homeostasis	22	0	0.07	1.000	1
GO:0019748	secondary metabolic process	3	0	0.01	1.000	1
GO:0019752	carboxylic acid metabolic process	96	0	0.3	1.000	1
GO:0019757	glycosinolate metabolic process	3	0	0.01	1.000	1
GO:0019759	glycosinolate catabolic process	3	0	0.01	1.000	1
GO:0019760	glucosinolate metabolic process	3	0	0.01	1.000	1
GO:0019762	glucosinolate catabolic process	3	0	0.01	1.000	1
GO:0019941	modification-dependent protein catabolic...	80	0	0.25	1.000	1
GO:0022402	cell cycle process	21	0	0.07	1.000	1
GO:0022406	membrane docking	8	0	0.02	1.000	1
GO:0022414	reproductive process	13	0	0.04	1.000	1
GO:0022607	cellular component assembly	60	0	0.19	1.000	1
GO:0022613	ribonucleoprotein complex biogenesis	26	0	0.08	1.000	1
GO:0022618	ribonucleoprotein complex assembly	7	0	0.02	1.000	1
GO:0022900	electron transport chain	5	0	0.02	1.000	1
GO:0023052	signaling	97	0	0.3	1.000	1
GO:0030001	metal ion transport	68	0	0.21	1.000	1
GO:0030071	regulation of mitotic metaphase/anaphase...	4	0	0.01	1.000	1
GO:0030163	protein catabolic process	82	0	0.25	1.000	1
GO:0030198	extracellular matrix organization	13	0	0.04	1.000	1
GO:0030258	lipid modification	14	0	0.04	1.000	1
GO:0031047	gene silencing by RNA	10	0	0.03	1.000	1
GO:0031163	metallo-sulfur cluster assembly	3	0	0.01	1.000	1
GO:0031323	regulation of cellular metabolic process	65	0	0.2	1.000	1
GO:0031325	positive regulation of cellular metaboli...	3	0	0.01	1.000	1
GO:0031326	regulation of cellular biosynthetic proc...	52	0	0.16	1.000	1
GO:0031365	N-terminal protein amino acid modificati...	3	0	0.01	1.000	1
GO:0031399	regulation of protein modification proce...	8	0	0.02	1.000	1
GO:0031577	spindle checkpoint signaling	4	0	0.01	1.000	1
GO:0032200	telomere organization	6	0	0.02	1.000	1
GO:0032259	methylation	25	0	0.08	1.000	1
GO:0032268	regulation of cellular protein metabolic...	9	0	0.03	1.000	1
GO:0032501	multicellular organismal process	26	0	0.08	1.000	1
GO:0032502	developmental process	17	0	0.05	1.000	1
GO:0032506	cytokinetic process	6	0	0.02	1.000	1
GO:0032507	maintenance of protein location in cell	9	0	0.03	1.000	1
GO:0032774	RNA biosynthetic process	86	0	0.27	1.000	1
GO:0032787	monocarboxylic acid metabolic process	52	0	0.16	1.000	1
GO:0032940	secretion by cell	8	0	0.02	1.000	1
GO:0033013	tetrapyrrole metabolic process	7	0	0.02	1.000	1
GO:0033014	tetrapyrrole biosynthetic process	5	0	0.02	1.000	1
GO:0033036	macromolecule localization	138	0	0.43	1.000	1
GO:0033043	regulation of organelle organization	4	0	0.01	1.000	1
GO:0033044	regulation of chromosome organization	4	0	0.01	1.000	1
GO:0033045	regulation of sister chromatid segregati...	4	0	0.01	1.000	1
GO:0033046	negative regulation of sister chromatid ...	4	0	0.01	1.000	1
GO:0033047	regulation of mitotic sister chromatid s...	4	0	0.01	1.000	1
GO:0033048	negative regulation of mitotic sister ch...	4	0	0.01	1.000	1
GO:0033365	protein localization to organelle	23	0	0.07	1.000	1
GO:0033500	carbohydrate homeostasis	6	0	0.02	1.000	1
GO:0033554	cellular response to stress	45	0	0.14	1.000	1
GO:0033692	cellular polysaccharide biosynthetic pro...	5	0	0.02	1.000	1
GO:0033865	nucleoside bisphosphate metabolic proces...	6	0	0.02	1.000	1
GO:0033875	ribonucleoside bisphosphate metabolic pr...	6	0	0.02	1.000	1
GO:0034032	purine nucleoside bisphosphate metabolic...	6	0	0.02	1.000	1
GO:0034035	purine ribonucleoside bisphosphate metab...	3	0	0.01	1.000	1
GO:0034613	cellular protein localization	73	0	0.23	1.000	1
GO:0034637	cellular carbohydrate biosynthetic proce...	5	0	0.02	1.000	1
GO:0034645	cellular macromolecule biosynthetic proc...	52	0	0.16	1.000	1
GO:0034654	nucleobase-containing compound biosynthe...	102	0	0.32	1.000	1
GO:0034655	nucleobase-containing compound catabolic...	27	0	0.08	1.000	1
GO:0035383	thioester metabolic process	3	0	0.01	1.000	1
GO:0035437	maintenance of protein localization in e...	9	0	0.03	1.000	1
GO:0035556	intracellular signal transduction	66	0	0.2	1.000	1
GO:0036211	protein modification process	129	0	0.4	1.000	1
GO:0042147	retrograde transport, endosome to Golgi	3	0	0.01	1.000	1
GO:0042157	lipoprotein metabolic process	8	0	0.02	1.000	1
GO:0042158	lipoprotein biosynthetic process	7	0	0.02	1.000	1
GO:0042180	cellular ketone metabolic process	4	0	0.01	1.000	1
GO:0042181	ketone biosynthetic process	4	0	0.01	1.000	1
GO:0042221	response to chemical	112	0	0.35	1.000	1
GO:0042254	ribosome biogenesis	19	0	0.06	1.000	1
GO:0042255	ribosome assembly	3	0	0.01	1.000	1
GO:0042256	mature ribosome assembly	3	0	0.01	1.000	1
GO:0042325	regulation of phosphorylation	9	0	0.03	1.000	1
GO:0042364	water-soluble vitamin biosynthetic proce...	5	0	0.02	1.000	1
GO:0042401	cellular biogenic amine biosynthetic pro...	8	0	0.02	1.000	1
GO:0042430	indole-containing compound metabolic pro...	7	0	0.02	1.000	1
GO:0042435	indole-containing compound biosynthetic ...	7	0	0.02	1.000	1
GO:0042440	pigment metabolic process	11	0	0.03	1.000	1
GO:0042546	cell wall biogenesis	13	0	0.04	1.000	1
GO:0042592	homeostatic process	22	0	0.07	1.000	1
GO:0042593	glucose homeostasis	6	0	0.02	1.000	1
GO:0042908	xenobiotic transport	102	0	0.32	1.000	1
GO:0043043	peptide biosynthetic process	4	0	0.01	1.000	1
GO:0043062	extracellular structure organization	13	0	0.04	1.000	1
GO:0043207	response to external biotic stimulus	3	0	0.01	1.000	1
GO:0043412	macromolecule modification	174	0	0.54	1.000	1
GO:0043413	macromolecule glycosylation	36	0	0.11	1.000	1
GO:0043414	macromolecule methylation	25	0	0.08	1.000	1
GO:0043436	oxoacid metabolic process	99	0	0.31	1.000	1
GO:0043545	molybdopterin cofactor metabolic process	4	0	0.01	1.000	1
GO:0043549	regulation of kinase activity	9	0	0.03	1.000	1
GO:0043603	cellular amide metabolic process	13	0	0.04	1.000	1
GO:0043604	amide biosynthetic process	4	0	0.01	1.000	1
GO:0043632	modification-dependent macromolecule cat...	80	0	0.25	1.000	1
GO:0043648	dicarboxylic acid metabolic process	4	0	0.01	1.000	1
GO:0043933	protein-containing complex organization	22	0	0.07	1.000	1
GO:0044036	cell wall macromolecule metabolic proces...	3	0	0.01	1.000	1
