GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
GO:0012505	endomembrane system	113	0	0.07	1.00	1
GO:0012511	monolayer-surrounded lipid storage body	10	0	0.01	1.00	1
GO:0015629	actin cytoskeleton	11	0	0.01	1.00	1
GO:0015630	microtubule cytoskeleton	28	0	0.02	1.00	1
GO:0016021	integral component of membrane	290	0	0.19	1.00	1
GO:0016469	proton-transporting two-sector ATPase co...	16	0	0.01	1.00	1
GO:0016471	vacuolar proton-transporting V-type ATPa...	6	0	0	1.00	1
GO:0016591	RNA polymerase II, holoenzyme	13	0	0.01	1.00	1
GO:0019866	organelle inner membrane	34	0	0.02	1.00	1
GO:0019867	outer membrane	23	0	0.01	1.00	1
GO:0030312	external encapsulating structure	38	0	0.02	1.00	1
GO:0030684	preribosome	4	0	0	1.00	1
GO:0030867	rough endoplasmic reticulum membrane	4	0	0	1.00	1
GO:0030880	RNA polymerase complex	13	0	0.01	1.00	1
GO:0031011	Ino80 complex	5	0	0	1.00	1
GO:0031090	organelle membrane	119	0	0.08	1.00	1
GO:0031224	intrinsic component of membrane	291	0	0.19	1.00	1
GO:0031226	intrinsic component of plasma membrane	4	0	0	1.00	1
GO:0031231	intrinsic component of peroxisomal membr...	8	0	0.01	1.00	1
GO:0031248	protein acetyltransferase complex	10	0	0.01	1.00	1
GO:0031300	intrinsic component of organelle membran...	10	0	0.01	1.00	1
GO:0031301	integral component of organelle membrane	10	0	0.01	1.00	1
GO:0031903	microbody membrane	8	0	0.01	1.00	1
GO:0031966	mitochondrial membrane	53	0	0.03	1.00	1
GO:0031967	organelle envelope	75	0	0.05	1.00	1
GO:0031968	organelle outer membrane	19	0	0.01	1.00	1
GO:0031974	membrane-enclosed lumen	47	0	0.03	1.00	1
GO:0031975	envelope	75	0	0.05	1.00	1
GO:0031981	nuclear lumen	41	0	0.03	1.00	1
GO:0031984	organelle subcompartment	40	0	0.03	1.00	1
GO:0032040	small-subunit processome	4	0	0	1.00	1
GO:0032991	protein-containing complex	361	0	0.23	1.00	1
GO:0032993	protein-DNA complex	97	0	0.06	1.00	1
GO:0033176	proton-transporting V-type ATPase comple...	6	0	0	1.00	1
GO:0033177	proton-transporting two-sector ATPase co...	9	0	0.01	1.00	1
GO:0033178	proton-transporting two-sector ATPase co...	7	0	0	1.00	1
GO:0033179	proton-transporting V-type ATPase, V0 do...	4	0	0	1.00	1
GO:0033588	elongator holoenzyme complex	3	0	0	1.00	1
GO:0034357	photosynthetic membrane	34	0	0.02	1.00	1
GO:0042175	nuclear outer membrane-endoplasmic retic...	39	0	0.03	1.00	1
GO:0042579	microbody	18	0	0.01	1.00	1
GO:0043226	organelle	594	0	0.38	1.00	1
GO:0043227	membrane-bounded organelle	427	0	0.28	1.00	1
GO:0043228	non-membrane-bounded organelle	184	0	0.12	1.00	1
GO:0043229	intracellular organelle	594	0	0.38	1.00	1
GO:0043231	intracellular membrane-bounded organelle	427	0	0.28	1.00	1
GO:0043232	intracellular non-membrane-bounded organ...	184	0	0.12	1.00	1
GO:0043233	organelle lumen	47	0	0.03	1.00	1
GO:0044815	DNA packaging complex	100	0	0.06	1.00	1
GO:0045259	proton-transporting ATP synthase complex	10	0	0.01	1.00	1
GO:0045261	proton-transporting ATP synthase complex...	5	0	0	1.00	1
GO:0045263	proton-transporting ATP synthase complex...	5	0	0	1.00	1
GO:0055029	nuclear DNA-directed RNA polymerase comp...	13	0	0.01	1.00	1
GO:0061695	transferase complex, transferring phosph...	13	0	0.01	1.00	1
GO:0070013	intracellular organelle lumen	47	0	0.03	1.00	1
GO:0070461	SAGA-type complex	5	0	0	1.00	1
GO:0070469	respirasome	3	0	0	1.00	1
GO:0070603	SWI/SNF superfamily-type complex	5	0	0	1.00	1
GO:0071256	translocon complex	4	0	0	1.00	1
GO:0071944	cell periphery	94	0	0.06	1.00	1
GO:0090575	RNA polymerase II transcription regulato...	17	0	0.01	1.00	1
GO:0090576	RNA polymerase III transcription regulat...	3	0	0	1.00	1
GO:0097346	INO80-type complex	5	0	0	1.00	1
GO:0098588	bounding membrane of organelle	48	0	0.03	1.00	1
GO:0098687	chromosomal region	9	0	0.01	1.00	1
GO:0098796	membrane protein complex	84	0	0.05	1.00	1
GO:0098797	plasma membrane protein complex	11	0	0.01	1.00	1
GO:0098798	mitochondrial protein-containing complex	23	0	0.01	1.00	1
GO:0098799	outer mitochondrial membrane protein com...	4	0	0	1.00	1
GO:0098800	inner mitochondrial membrane protein com...	19	0	0.01	1.00	1
GO:0098827	endoplasmic reticulum subcompartment	39	0	0.03	1.00	1
GO:0099023	vesicle tethering complex	33	0	0.02	1.00	1
GO:0099080	supramolecular complex	4	0	0	1.00	1
GO:0140513	nuclear protein-containing complex	57	0	0.04	1.00	1
GO:0140534	endoplasmic reticulum protein-containing...	9	0	0.01	1.00	1
GO:0140535	intracellular protein-containing complex	56	0	0.04	1.00	1
GO:1902493	acetyltransferase complex	10	0	0.01	1.00	1
GO:1902494	catalytic complex	84	0	0.05	1.00	1
GO:1903293	phosphatase complex	16	0	0.01	1.00	1
GO:1904949	ATPase complex	5	0	0	1.00	1
GO:1905354	exoribonuclease complex	5	0	0	1.00	1
GO:1905368	peptidase complex	10	0	0.01	1.00	1
GO:1905369	endopeptidase complex	5	0	0	1.00	1
GO:1990204	oxidoreductase complex	4	0	0	1.00	1
GO:1990234	transferase complex	38	0	0.02	1.00	1
GO:1990904	ribonucleoprotein complex	7	0	0	1.00	1
